date;Time;rainfall;Rainfall Intensity;ft;fc;Fl;fcl;fp_fs;dt;ts;Ft_var;Infiltration;Runoff;Rsuperficial;transpiration;Rsolo;Rec;Rsubterranea;Esup;Esub;Ebase;Etotal;qsup;qsub;qbase;qtotal;q_obs;qatrasado
10/1/2001;0.0;0.004;0.009;0.0;50.0;0.004;335790.126;0.0;;;0.004;0.004;0.0;0.0;0.0;0.004;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.098;0.001
10/1/2001;0.5;0.004;0.009;0.004;335790.126;0.009;167953.963;;;;0.009;0.004;0.0;0.0;0.0;0.008;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.099;0.001
10/1/2001;1.0;3.292;6.584;0.009;167953.963;3.301;551.032;;;;3.301;3.292;0.0;0.0;0.0;3.3;0.101;2.101;0.0;0.013;0.0;0.014;0.0;0.048;0.001;0.049;0.097;0.001
10/1/2001;1.5;15.5;31.0;3.301;551.032;18.801;193.859;;;;18.801;15.5;0.0;0.0;0.0;18.7;0.57;2.671;0.0;0.075;0.0;0.076;0.0;0.27;0.001;0.271;0.099;0.001
10/1/2001;2.0;15.3;30.6;18.801;193.859;34.101;159.734;;;;34.101;15.3;0.0;0.0;0.0;33.429;1.02;3.69;0.0;0.135;0.0;0.135;0.0;0.483;0.002;0.485;0.1;0.002
10/1/2001;2.5;6.9;13.8;34.101;159.734;41.001;152.677;;;;41.001;6.9;0.0;0.0;0.0;39.309;1.199;4.889;0.0;0.158;0.001;0.159;0.0;0.568;0.002;0.57;0.097;0.002
10/1/2001;3.0;0.6;1.2;41.001;152.677;41.601;152.174;;;;41.601;0.6;-0.0;0.0;0.0;38.71;1.181;6.069;0.0;0.156;0.001;0.157;0.0;0.559;0.003;0.562;0.097;0.003
10/1/2001;3.5;0.4;0.8;41.601;152.174;42.001;151.846;;;;42.001;0.4;0.0;0.0;0.0;37.929;1.157;7.226;0.0;0.153;0.001;0.154;0.0;0.548;0.003;0.551;0.1;0.003
10/1/2001;4.0;1.4;2.8;42.001;151.846;43.401;150.748;;;;43.401;1.4;0.0;0.0;0.0;38.172;1.165;8.389;0.0;0.154;0.001;0.155;0.0;0.552;0.004;0.555;0.097;0.004
10/1/2001;4.5;0.8;1.6;43.401;150.748;44.201;150.152;;;;44.201;0.8;0.0;0.0;0.0;37.808;1.153;9.542;0.0;0.152;0.001;0.153;0.0;0.546;0.004;0.551;0.097;0.004
10/1/2001;5.0;0.6;1.2;44.201;150.152;44.801;149.718;;;;44.801;0.6;-0.0;0.0;0.0;37.254;1.137;10.677;0.0;0.15;0.001;0.151;0.0;0.538;0.005;0.543;0.103;0.005
10/1/2001;5.5;0.278;0.556;44.801;149.718;45.079;149.521;;;;45.079;0.278;0.0;0.0;0.0;36.396;1.11;11.786;0.0;0.147;0.001;0.148;0.0;0.526;0.005;0.531;0.131;0.005
10/1/2001;6.0;0.282;0.565;45.079;149.521;45.361;149.324;;;;45.361;0.282;-0.0;0.0;0.0;35.568;1.085;12.87;0.0;0.143;0.002;0.145;0.0;0.514;0.006;0.52;0.217;0.001
10/1/2001;6.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;34.483;1.052;13.92;0.0;0.139;0.002;0.141;0.0;0.498;0.006;0.505;0.381;0.001
10/1/2001;7.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;33.431;1.02;14.938;0.0;0.135;0.002;0.136;0.0;0.483;0.007;0.49;0.537;0.049
10/1/2001;7.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;32.411;0.989;15.925;0.0;0.131;0.002;0.133;0.0;0.468;0.007;0.476;0.671;0.271
10/1/2001;8.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;31.422;0.959;16.882;0.0;0.127;0.002;0.129;0.0;0.454;0.008;0.462;0.825;0.485
10/1/2001;8.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;30.464;0.929;17.809;0.0;0.123;0.002;0.125;0.0;0.44;0.008;0.448;1.04;0.57
10/1/2001;9.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;29.534;0.901;18.708;0.0;0.119;0.002;0.121;0.0;0.427;0.008;0.435;1.342;0.562
10/1/2001;9.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;28.633;0.874;19.579;0.0;0.115;0.002;0.118;0.0;0.414;0.009;0.423;1.664;0.551
10/1/2001;10.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;27.76;0.847;20.423;0.0;0.112;0.003;0.114;0.0;0.401;0.009;0.41;1.886;0.555
10/1/2001;10.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;26.913;0.821;21.242;0.0;0.108;0.003;0.111;0.0;0.389;0.01;0.398;1.991;0.551
10/1/2001;11.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;26.092;0.796;22.035;0.0;0.105;0.003;0.108;0.0;0.377;0.01;0.387;1.998;0.543
10/1/2001;11.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;25.296;0.772;22.804;0.0;0.102;0.003;0.105;0.0;0.366;0.01;0.376;1.945;0.531
10/1/2001;12.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;24.524;0.748;23.549;0.0;0.099;0.003;0.102;0.0;0.354;0.011;0.365;1.848;0.52
10/1/2001;12.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;23.776;0.725;24.272;0.0;0.096;0.003;0.099;0.0;0.344;0.011;0.354;1.741;0.505
10/1/2001;13.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;23.051;0.703;24.972;0.0;0.093;0.003;0.096;0.0;0.333;0.011;0.344;1.621;0.49
10/1/2001;13.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;22.347;0.682;25.65;0.0;0.09;0.003;0.093;0.0;0.323;0.012;0.334;1.508;0.476
10/1/2001;14.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;21.666;0.661;26.308;0.0;0.087;0.003;0.091;0.0;0.313;0.012;0.325;1.39;0.462
10/1/2001;14.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;21.005;0.641;26.946;0.0;0.085;0.003;0.088;0.0;0.304;0.012;0.316;1.284;0.448
10/1/2001;15.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;20.364;0.621;27.564;0.0;0.082;0.003;0.085;0.0;0.294;0.012;0.307;1.18;0.435
10/1/2001;15.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;19.743;0.602;28.162;0.0;0.079;0.004;0.083;0.0;0.285;0.013;0.298;1.095;0.423
10/1/2001;16.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;19.14;0.584;28.743;0.0;0.077;0.004;0.081;0.0;0.277;0.013;0.29;1.012;0.41
10/1/2001;16.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;18.556;0.566;29.305;0.0;0.075;0.004;0.078;0.0;0.268;0.013;0.281;0.937;0.398
10/1/2001;17.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;17.99;0.549;29.851;0.0;0.072;0.004;0.076;0.0;0.26;0.013;0.273;0.863;0.387
10/1/2001;17.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;17.442;0.532;30.379;0.0;0.07;0.004;0.074;0.0;0.252;0.014;0.266;0.793;0.376
10/1/2001;18.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.145;16.764;0.511;30.886;0.0;0.068;0.004;0.071;0.0;0.242;0.014;0.256;0.731;0.365
10/1/2001;18.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;16.087;0.491;31.373;0.0;0.065;0.004;0.069;0.0;0.232;0.014;0.247;0.67;0.354
10/1/2001;19.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;15.43;0.471;31.84;0.0;0.062;0.004;0.066;0.0;0.223;0.014;0.237;0.613;0.344
10/1/2001;19.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;14.793;0.451;32.287;0.0;0.06;0.004;0.064;0.0;0.214;0.014;0.228;0.57;0.334
10/1/2001;20.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;14.176;0.432;32.716;0.0;0.057;0.004;0.061;0.0;0.205;0.015;0.22;0.532;0.325
10/1/2001;20.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;13.577;0.414;33.126;0.0;0.055;0.004;0.059;0.0;0.196;0.015;0.211;0.498;0.316
10/1/2001;21.0;0.064;0.128;45.361;149.324;45.425;149.279;;;;45.425;0.064;-0.0;-0.0;0.0;13.227;0.404;33.525;-0.0;0.053;0.004;0.057;-0.0;0.191;0.015;0.206;0.467;0.307
10/1/2001;21.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;12.824;0.391;33.912;-0.0;0.052;0.004;0.056;-0.0;0.185;0.015;0.201;0.437;0.298
10/1/2001;22.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;12.432;0.379;34.287;-0.0;0.05;0.004;0.054;-0.0;0.18;0.015;0.195;0.41;0.29
10/1/2001;22.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;12.053;0.368;34.651;-0.0;0.049;0.004;0.053;-0.0;0.174;0.016;0.19;0.385;0.281
10/1/2001;23.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;11.685;0.356;35.003;-0.0;0.047;0.004;0.051;-0.0;0.169;0.016;0.185;0.362;0.273
10/1/2001;23.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;11.329;0.346;35.344;-0.0;0.046;0.004;0.05;-0.0;0.164;0.016;0.18;0.342;0.266
10/2/2001;24.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;10.983;0.335;35.675;-0.0;0.044;0.004;0.049;-0.0;0.159;0.016;0.175;0.322;0.256
10/2/2001;24.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;10.648;0.325;35.995;-0.0;0.043;0.005;0.047;-0.0;0.154;0.016;0.17;0.305;0.247
10/2/2001;25.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;10.323;0.315;36.306;-0.0;0.042;0.005;0.046;-0.0;0.149;0.016;0.165;0.29;0.237
10/2/2001;25.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.058;9.951;0.304;36.605;-0.0;0.04;0.005;0.045;-0.0;0.144;0.016;0.16;0.278;0.228
10/2/2001;26.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.166;9.481;0.289;36.889;-0.0;0.038;0.005;0.043;-0.0;0.137;0.017;0.154;0.267;0.22
10/2/2001;26.5;0.009;0.017;45.425;149.279;45.434;149.274;;;;45.434;0.009;-0.0;-0.0;0.0;9.2;0.281;37.165;-0.0;0.037;0.005;0.042;-0.0;0.133;0.017;0.15;0.257;0.211
10/2/2001;27.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.0;8.92;0.272;37.433;-0.0;0.036;0.005;0.041;-0.0;0.129;0.017;0.146;0.248;0.206
10/2/2001;27.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.141;8.507;0.26;37.688;-0.0;0.034;0.005;0.039;-0.0;0.123;0.017;0.14;0.239;0.201
10/2/2001;28.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;8.081;0.247;37.93;-0.0;0.033;0.005;0.037;-0.0;0.117;0.017;0.134;0.233;0.195
10/2/2001;28.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;7.669;0.234;38.159;-0.0;0.031;0.005;0.036;-0.0;0.111;0.017;0.128;0.228;0.19
10/2/2001;29.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;7.269;0.222;38.376;-0.0;0.029;0.005;0.034;-0.0;0.105;0.017;0.122;0.222;0.185
10/2/2001;29.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;6.881;0.21;38.581;-0.0;0.028;0.005;0.033;-0.0;0.099;0.017;0.117;0.216;0.18
10/2/2001;30.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;6.505;0.198;38.775;-0.0;0.026;0.005;0.031;-0.0;0.094;0.017;0.111;0.212;0.175
10/2/2001;30.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;6.141;0.187;38.957;-0.0;0.025;0.005;0.03;-0.0;0.089;0.017;0.106;0.206;0.17
10/2/2001;31.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;5.787;0.177;39.129;-0.0;0.023;0.005;0.028;-0.0;0.084;0.018;0.101;0.201;0.165
10/2/2001;31.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;5.445;0.166;39.29;-0.0;0.022;0.005;0.027;-0.0;0.079;0.018;0.096;0.198;0.16
10/2/2001;32.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;5.113;0.156;39.441;-0.0;0.021;0.005;0.026;-0.0;0.074;0.018;0.092;0.194;0.154
10/2/2001;32.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;4.791;0.146;39.582;-0.0;0.019;0.005;0.024;-0.0;0.069;0.018;0.087;0.19;0.15
10/2/2001;33.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;4.479;0.137;39.714;-0.0;0.018;0.005;0.023;-0.0;0.065;0.018;0.083;0.187;0.146
10/2/2001;33.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;4.176;0.127;39.836;-0.0;0.017;0.005;0.022;-0.0;0.06;0.018;0.078;0.184;0.14
10/2/2001;34.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.883;0.118;39.95;-0.0;0.016;0.005;0.021;-0.0;0.056;0.018;0.074;0.182;0.134
10/2/2001;34.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.598;0.11;40.055;-0.0;0.014;0.005;0.02;-0.0;0.052;0.018;0.07;0.179;0.128
10/2/2001;35.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.322;0.101;40.151;-0.0;0.013;0.005;0.018;-0.0;0.048;0.018;0.066;0.175;0.122
10/2/2001;35.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.055;0.093;40.239;-0.0;0.012;0.005;0.017;-0.0;0.044;0.018;0.062;0.174;0.117
10/2/2001;36.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;2.796;0.085;40.319;-0.0;0.011;0.005;0.016;-0.0;0.04;0.018;0.059;0.171;0.111
10/2/2001;36.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;2.545;0.078;40.392;-0.0;0.01;0.005;0.015;-0.0;0.037;0.018;0.055;0.169;0.106
10/2/2001;37.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;2.301;0.07;40.457;-0.0;0.009;0.005;0.014;-0.0;0.033;0.018;0.051;0.167;0.101
10/2/2001;37.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;2.065;0.063;40.515;-0.0;0.008;0.005;0.013;-0.0;0.03;0.018;0.048;0.164;0.096
10/2/2001;38.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;1.836;0.056;40.566;-0.0;0.007;0.005;0.012;-0.0;0.027;0.018;0.045;0.161;0.092
10/2/2001;38.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;1.614;0.049;40.61;-0.0;0.006;0.005;0.012;-0.0;0.023;0.018;0.042;0.159;0.087
10/2/2001;39.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;1.399;0.043;40.648;-0.0;0.006;0.005;0.011;-0.0;0.02;0.018;0.038;0.157;0.083
10/2/2001;39.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;1.19;0.036;40.679;-0.0;0.005;0.005;0.01;-0.0;0.017;0.018;0.035;0.154;0.078
10/2/2001;40.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.988;0.03;40.704;-0.0;0.004;0.005;0.009;-0.0;0.014;0.018;0.033;0.152;0.074
10/2/2001;40.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.791;0.024;40.723;-0.0;0.003;0.005;0.008;-0.0;0.011;0.018;0.03;0.148;0.07
10/2/2001;41.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.601;0.018;40.736;-0.0;0.002;0.005;0.008;-0.0;0.009;0.018;0.027;0.146;0.066
10/2/2001;41.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.417;0.013;40.744;-0.0;0.002;0.005;0.007;-0.0;0.006;0.018;0.024;0.143;0.062
10/2/2001;42.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.238;0.007;40.746;-0.0;0.001;0.005;0.006;-0.0;0.003;0.018;0.022;0.141;0.059
10/2/2001;42.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.065;0.002;40.743;-0.0;0.0;0.005;0.005;-0.0;0.001;0.018;0.019;0.138;0.055
10/2/2001;43.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.738;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.136;0.051
10/2/2001;43.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.733;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.134;0.048
10/2/2001;44.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.728;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.133;0.045
10/2/2001;44.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.723;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.131;0.042
10/2/2001;45.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.717;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.13;0.038
10/2/2001;45.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.712;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.129;0.035
10/2/2001;46.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.707;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.128;0.033
10/2/2001;46.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.702;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.128;0.03
10/2/2001;47.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.697;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.127;0.027
10/2/2001;47.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.692;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.126;0.024
10/3/2001;48.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.687;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.126;0.022
10/3/2001;48.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.682;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.126;0.019
10/3/2001;49.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.677;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.126;0.018
10/3/2001;49.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.672;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.126;0.018
10/3/2001;50.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.667;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.125;0.018
10/3/2001;50.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.661;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.124;0.018
10/3/2001;51.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.656;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.124;0.018
10/3/2001;51.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.651;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.124;0.018
10/3/2001;52.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.646;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.124;0.018
10/3/2001;52.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.641;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.124;0.018
10/3/2001;53.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.636;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.124;0.018
10/3/2001;53.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;0.0;0.0;40.631;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;54.0;0.009;0.017;45.434;149.274;45.442;149.268;;;;45.442;0.009;-0.0;-0.0;0.0;0.009;0.0;40.626;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;54.5;0.009;0.017;45.442;149.268;45.451;149.262;;;;45.451;0.009;-0.0;-0.0;0.0;0.017;0.001;40.622;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;55.0;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.0;0.016;0.0;40.617;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;55.5;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.0;0.016;0.0;40.612;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;56.0;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.115;0.0;0.0;40.607;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;56.5;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.602;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;57.0;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.597;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;57.5;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.592;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.123;0.018
10/3/2001;58.0;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.587;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.122;0.018
10/3/2001;58.5;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.582;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.122;0.018
10/3/2001;59.0;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.577;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.122;0.018
10/3/2001;59.5;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.572;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.122;0.018
10/3/2001;60.0;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.567;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.122;0.018
10/3/2001;60.5;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.562;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.122;0.018
10/3/2001;61.0;0.0;0.0;45.451;149.262;45.451;149.262;;;;45.451;0.0;0.0;-0.0;0.166;0.0;0.0;40.556;-0.0;0.0;0.005;0.005;-0.0;0.0;0.018;0.018;0.122;0.018
